CH340G,,,,,,,,,,,,,,,bus.
Pin,Name,Type,Side,,,,,,,,,,,,
1,GND,pwr,left,,,,,,,,,,,,
2,TXD,out,left,,,,,,,,,,,,
3,RXD,in,left,,,,,,,,,,,,
4,V3,pwr,left,,,,,,,,,,,,
5,UD+,analog,left,,,,,,,,,,,,
6,UD-,analog,left,,,,,,,,,,,,
7,XI,in,left,,,,,,,,,,,,
8,XO,out,left,,,,,,,,,,,,
9,CTS#,in,right,,,,,,,,,,,,
10,DSR#,in,right,,,,,,,,,,,,
11,RI#,in,right,,,,,,,,,,,,
12,DCD#,in,right,,,,,,,,,,,,
13,DTR#,out,right,,,,,,,,,,,,
14,RTS#,out,right,,,,,,,,,,,,
15,R232,in,right,,,,,,,,,,,,
16,VCC,pwr,right,,,,,,,,,,,,
