Onion_Omega_2,,,
Pin,Name,Type,Side
1,GND,pwr,bottom
2,VIN(3V3),pwr,top
3,D+(USB),inout,left
4,D-(USB),inout,left
5,13(UART_RX0),inout,left
6,12(UART_TX0),inout,left
7,38,inout,left
8,VOUT(3V3),out,left
9,TX-(Ethernet),out,left
10,TX+(Ethernet),out,left
11,RX-(Ethernet),in,left
12,RX+(Ethernet),in,left
13,18,inout,left
14,19,inout,left
15,4(I2C_SCL),in,left
16,5(I2C_SDA),inout,left
17,RST,in,right
18,0(I2S_SDI),in,right
19,1(I2S_SDO),out,right
20,6(SPI_CS1),in,right
21,7(SPI_CLK),in,right
22,8(SPI_MOSI),out,right
23,9(SPI_MISO),in,right
24,45(UART_TX1),out,right
25,46(UART_RX1),in,right
26,15,inout,right
27,16,inout,right
28,17,inout,right
29,2(I2S_WS),in,right
30,3(I2S_CLK),in,right
31,11,inout,right
32,GND,pwr,bottom
